id,heads,batch,context,distribution,legacy_splits,formula_splits,legacy_us,formula_us,speedup,identical_config
h20-b4-l64-uniform,20,4,64,uniform,16,32,10.70057988166809,11.77968978881836,0.908392332353727,False
h20-b5-l32768-uniform,20,5,32768,uniform,4,32,679.3939769268036,186.03000044822693,3.652066738105945,False
h5-b1-l131072-uniform,5,1,131072,uniform,32,32,207.38850037256876,207.43900537490845,0.9997565308306005,True
h5-b1-l512-uniform,5,1,512,uniform,32,32,8.733530044555664,8.711270093917847,1.0025553048404916,True
h20-b4-l131072-uniform,20,4,131072,uniform,16,32,656.8270027637482,353.2719910144806,1.8592671354373658,False
h20-b5-l8192-uniform,20,5,8192,uniform,4,32,171.52706782023114,58.5318664709727,2.930490315139623,False
h10-b16-l512-uniform,10,16,512,uniform,8,32,9.094432180310474,15.223284562428793,0.5974027577961472,False
h10-b17-l131072-uniform,10,17,131072,uniform,4,32,1729.773998260498,1122.95001745224,1.5403837850103304,False
h10-b128-l64-uniform,10,128,64,uniform,4,2,14.381035452797299,11.1278330995923,1.2923482338465508,False
h10-b32-l131072-uniform,10,32,131072,uniform,4,32,1782.6250195503235,1826.6029953956604,0.9759236265591413,False
h5-b128-l8192-uniform,5,128,8192,uniform,4,8,465.6029939651489,485.1279854774475,0.9597529062499194,False
h10-b5-l32768-uniform,10,5,32768,uniform,8,32,215.28616547584534,126.35783354441324,1.7037817081611712,False
h5-b32-l2048-ragged,5,32,2048,ragged,4,32,31.87698534090225,34.0776165870771,0.935422970660179,False
h5-b16-l32768-uniform,5,16,32768,uniform,8,32,233.43260288238525,249.9493956565857,0.9339194530524353,False
h5-b4-l512-uniform,5,4,512,uniform,32,32,9.690349996089935,9.712600111961365,0.9977091493920327,True
h5-b32-l64-uniform,5,32,64,uniform,4,8,8.554069995880127,8.697939813137054,0.9834593225122538,False
h10-b128-l131072-uniform,10,128,131072,uniform,4,16,7103.260040283203,7196.820020675659,0.9869998165684749,False
h20-b4-l32768-uniform,20,4,32768,uniform,16,32,170.96760272979736,99.57786401112875,1.7169237804768551,False
h5-b17-l512-uniform,5,17,512,uniform,4,32,12.034503106148012,15.712141990661621,0.7659365039662076,False
h10-b16-l2048-uniform,10,16,2048,uniform,8,32,22.04237069402422,35.33371346337455,0.6238339685658124,False
h10-b17-l2048-uniform,10,17,2048,uniform,4,32,34.2183636896538,37.539758465506814,0.9115232779426415,False
h10-b5-l2048-ragged,10,5,2048,ragged,8,32,17.735376738119818,10.355898867482725,1.7125868999945988,False
h20-b32-l64-uniform,20,32,64,uniform,4,8,11.665740013122559,12.191960215568542,0.9568387533143337,False
h20-b17-l32768-uniform,20,17,32768,uniform,4,32,668.3115065097809,442.5159990787506,1.5102538843818107,False
h5-b32-l131072-ragged,5,32,131072,ragged,4,32,1622.8020191192627,711.9399905204773,2.2794084343160472,False
h5-b256-l8192-uniform,5,256,8192,uniform,4,4,922.4579731623332,922.0439990361531,1.0004489743728204,True
h10-b16-l32768-uniform,10,16,32768,uniform,8,32,237.5931978225708,255.24380207061768,0.9308480593657529,False
h10-b1-l32768-uniform,10,1,32768,uniform,32,32,58.16144166990768,57.836186054141024,1.005623739011113,True
h20-b32-l2048-ragged,20,32,2048,ragged,4,32,48.170121348634055,50.94044792408846,0.9456163679678916,False
h20-b17-l131072-uniform,20,17,131072,uniform,4,32,2577.3919820785522,1675.540030002594,1.5382455422891699,False
h5-b5-l131072-ragged,5,5,131072,ragged,8,32,822.0629990100861,214.28799629211426,3.8362531417273686,False
h20-b128-l131072-ragged,20,128,131072,ragged,4,16,5234.405994415283,3830.6500911712646,1.366453701025667,False
h10-b128-l2048-ragged,10,128,2048,ragged,4,8,71.38327396277225,73.29945492021966,0.9738581827172792,False
h20-b17-l8192-uniform,20,17,8192,uniform,4,32,171.40346368153888,137.44266827901205,1.2470906293348842,False
h20-b4-l2048-uniform,20,4,2048,uniform,16,32,16.990796669379815,13.04054510343325,1.3029207394794073,False
h10-b32-l512-uniform,10,32,512,uniform,4,16,13.086061752759493,18.986477301670952,0.6892306321408986,False
h5-b128-l32768-uniform,5,128,32768,uniform,4,16,1772.9600071907043,1822.458028793335,0.9728399662320872,False
h10-b4-l2048-uniform,10,4,2048,uniform,32,32,10.172640085220337,10.237299799919128,0.9936839092375411,True
h20-b32-l512-uniform,20,32,512,uniform,4,16,18.152965896431056,28.58744818588783,0.6349977716931116,False
h20-b5-l2048-uniform,20,5,2048,uniform,4,32,47.05294348158927,20.492641430980754,2.2960897276255796,False
h5-b256-l64-uniform,5,256,64,uniform,4,1,27.74797786365856,12.722431936047293,2.181027810024152,False
h10-b16-l64-uniform,10,16,64,uniform,8,16,8.54326993227005,8.732919991016388,0.9782833165835216,False
h5-b1-l64-uniform,5,1,64,uniform,32,32,8.434479832649231,8.4128999710083,1.0025650919082951,True
h10-b32-l2048-uniform,10,32,2048,uniform,4,32,40.98424388141167,61.875607909225835,0.6623651106836367,False
h5-b1-l8192-uniform,5,1,8192,uniform,32,32,19.202301426539346,19.265413284301758,0.9967240849271665,True
h20-b128-l64-uniform,20,128,64,uniform,4,2,20.870120097429325,15.388922813611153,1.356178099676358,False
h5-b32-l512-uniform,5,32,512,uniform,4,16,12.904442903649716,18.814900449214093,0.6858629381793375,False
h20-b5-l2048-ragged,20,5,2048,ragged,4,32,45.54370966824618,13.882327621633356,3.2806969342283563,False
h5-b128-l131072-uniform,5,128,131072,uniform,4,16,6988.594055175781,7062.046051025391,0.989599048870696,False
h5-b5-l32768-uniform,5,5,32768,uniform,8,32,211.0314965248108,124.53516324361166,1.6945534982115678,False
h5-b16-l131072-uniform,5,16,131072,uniform,8,32,882.2946945826212,900.0106652577717,0.9803158214018759,False
